names,scores,logfoldchanges,pvals,pvals_adj
SRSF11,15.614986,0.87353605,5.755776134795015e-55,6.241641805432804e-53
RRP15,15.606595,1.3594806,6.564840808692924e-55,7.097097901951565e-53
ROMO1,15.591056,0.9258896,8.373850786139208e-55,9.025007588067517e-53
RPAP2,15.587352,1.7569956,8.873615899293405e-55,9.534388214730085e-53
SPPL3,15.551967,1.3480079,1.5429359921607265e-54,1.6477524645765084e-52
KLF6,15.539478,0.9324954,1.8750241118673546e-54,1.9963324900139244e-52
SSH2,15.538851,1.2505174,1.8934719521670844e-54,2.009883294241405e-52
PCBP2,15.528713,0.7748648,2.2178622358681074e-54,2.3471261944947578e-52
AFF4,15.514551,1.0759753,2.765600307443757e-54,2.917999003064156e-52
MYO5B,15.507649,2.7663848,3.0794832179533716e-54,3.2394503851135244e-52
SRRM2,15.503724,0.8164906,3.273534878825049e-54,3.433302924403525e-52
DUSP1,15.498434,1.0338199,3.5545135881507295e-54,3.716899848799877e-52
ATP6V0B,15.478108,0.7967485,4.876012675501289e-54,5.083641108419519e-52
WWC1,15.463885,2.1736588,6.08169407254785e-54,6.303254313833886e-52
SOX9,15.429263,2.3644555,1.0405176013256894e-53,1.0752525271346499e-51
RAB13,15.424059,0.96624494,1.1278800822136015e-53,1.1621133926268295e-51
MLF2,15.408581,0.88620853,1.4332556791628125e-53,1.4724397160054216e-51
ETV6,15.399648,2.0594616,1.6456241489551107e-53,1.6856852616191783e-51
UGCG,15.398319,1.3302935,1.6797875631130394e-53,1.715678372964437e-51
GID8,15.392204,1.0528144,1.8463333225738557e-53,1.8803165590907948e-51
TCEB1,15.38182,0.8188858,2.167671558974953e-53,2.2011890238319355e-51
ARL6IP1,15.361273,0.9463369,2.9767108225966507e-53,3.014026938096061e-51
RNF167,15.350963,1.2449012,3.4896901853574924e-53,3.5232834673142386e-51
BIK,15.342892,1.5485464,3.951922565226202e-53,3.9785329320694156e-51
KDM5A,15.330662,1.2508126,4.771012649143899e-53,4.789415126504882e-51
CNOT7,15.323046,1.3017291,5.3643740924535695e-53,5.36972318342895e-51
AHNAK,15.322295,1.0996923,5.426683944658397e-53,5.41666307941968e-51
ZNF326,15.319945,1.1956342,5.626484624300558e-53,5.600185191920683e-51
ANKLE2,15.314777,1.1161275,6.09197385258362e-53,6.046370093517669e-51
IQCG,15.303225,2.3295648,7.276040606215733e-53,7.201230611250417e-51
TMEM167A,15.298673,1.0170045,7.80322381441245e-53,7.701299683128691e-51
BTF3L4,15.285987,1.1399196,9.481505761930562e-53,9.331448317799168e-51
ATP5I,15.285434,0.7528545,9.562432921047557e-53,9.384806722933125e-51
GPRC5A,15.27842,1.4818918,1.0649046233533183e-52,1.0422123660590205e-50
TRAPPC1,15.277584,1.0131006,1.0786624688880022e-52,1.0527446067883322e-50
TPD52L2,15.264468,1.1163805,1.3189856074544401e-52,1.2801811966273964e-50
EMX2,15.2562,1.4408668,1.4971646714859057e-52,1.4491151716985479e-50
CCNYL1,15.238753,2.3392997,1.955651140649904e-52,1.8876868908443513e-50
TSTD1,15.238114,1.0772835,1.9748929622536858e-52,1.901037376131048e-50
FAM43A,15.22848,2.4197743,2.2884958371980826e-52,2.196893476501493e-50
GALNT3,15.227409,2.5647898,2.32626662394688e-52,2.227067515868491e-50
HEBP2,15.167541,1.0026791,5.8010232481901154e-52,5.538558473509774e-50
ZNF121,15.144484,1.935088,8.239951533230928e-52,7.845818350137362e-50
NDUFB7,15.140558,0.82227653,8.746762373775894e-52,8.305878270340975e-50
DCDC2,15.137151,2.1628973,9.21195014566994e-52,8.724039578655347e-50
ZNF600,15.11573,2.3553834,1.2754994242236044e-51,1.2014657445066043e-49
ATF7IP2,15.114684,1.6187835,1.2959110969215953e-51,1.217428780490381e-49
NPW,15.105838,3.0400927,1.4821064047174494e-51,1.3886348941266022e-49
MYO10,15.095761,1.1451119,1.726837197583373e-51,1.613628322794995e-49
ANO6,15.076457,1.5399592,2.3135612473068273e-51,2.1504490588392957e-49
MIDN,15.071228,1.1944542,2.504160583439153e-51,2.321469184673737e-49
SET,15.02221,0.8215092,5.252673727186652e-51,4.8439026615407615e-49
