row_index,zero_proportion,zero_count,total_count
899,0,0,307
900,0,0,307
901,0,0,307
902,0,0,307
903,0,0,307
904,0.009771986970684038,3,307
905,0,0,307
906,0,0,307
907,0,0,307
908,0,0,307
909,0,0,307
910,0,0,307
911,0,0,307
912,0,0,307
913,0,0,307
914,0,0,307
915,0,0,307
916,0,0,307
917,0,0,307
918,0.34527687296416937,106,307
919,0,0,307
920,0.03257328990228013,10,307
921,0.8859934853420195,272,307
922,0,0,307
923,0,0,307
924,0,0,307
925,0,0,307
926,0,0,307
927,0,0,307
928,0,0,307
929,0,0,307
930,0,0,307
931,0,0,307
932,0,0,307
933,0,0,307
934,0,0,307
935,0,0,307
936,0,0,307
937,0,0,307
938,0,0,307
939,0,0,307
940,0,0,307
941,0,0,307
942,0,0,307
943,0,0,307
944,0,0,307
945,0,0,307
946,0.2931596091205212,90,307
947,0,0,307
948,0,0,307
949,0,0,307
950,0,0,307
951,0,0,307
952,0,0,307
953,0,0,307
954,0,0,307
955,0,0,307
956,0.14332247557003258,44,307
957,0,0,307
958,0,0,307
959,0,0,307
960,0,0,307
961,0,0,307
962,0,0,307
963,0,0,307
964,0,0,307
965,0,0,307
966,0,0,307
967,0,0,307
968,0,0,307
969,0,0,307
970,0,0,307
971,0.3941368078175896,121,307
972,0,0,307
973,0,0,307
974,0,0,307
975,0,0,307
976,0,0,307
977,0,0,307
978,0,0,307
979,0,0,307
980,0,0,307
981,0,0,307
982,0,0,307
983,0.10749185667752444,33,307
984,0,0,307
985,0,0,307
986,0,0,307
987,0,0,307
988,0,0,307
989,0,0,307
990,0,0,307
991,0,0,307
992,0.31596091205211724,97,307
993,0,0,307
994,0.16938110749185667,52,307
995,0,0,307
996,0,0,307
997,0,0,307
998,0.1498371335504886,46,307
999,0,0,307
1000,0,0,307
1001,0,0,307
1002,0,0,307
1003,0,0,307
1004,0,0,307
1005,0,0,307
1006,0,0,307
1007,0,0,307
1008,0.6579804560260586,202,307
1009,0,0,307
1010,0,0,307
1011,0,0,307
1012,0,0,307
1013,0,0,307
1014,0,0,307
1015,0,0,307
1016,0.019543973941368076,6,307
1017,0,0,307
1018,0,0,307
1019,0,0,307
1020,0.003257328990228013,1,307
1021,0.02280130293159609,7,307
1022,0,0,307
1023,0,0,307
1024,0,0,307
1025,0,0,307
1026,0,0,307
1027,0,0,307
1028,0,0,307
1029,0,0,307
1030,0,0,307
1031,0,0,307
1032,0.5667752442996743,174,307
1033,0,0,307
1034,0.003257328990228013,1,307
1035,0,0,307
1036,0,0,307
1037,0,0,307
1038,0,0,307
1039,0,0,307
1040,0,0,307
1041,0,0,307
1042,0,0,307
1043,0,0,307
1044,0,0,307
1045,0,0,307
1046,0.38436482084690554,118,307
1047,0.5863192182410424,180,307
1048,0,0,307
1049,0,0,307
1050,0,0,307
1051,0,0,307
1052,0,0,307
1053,0,0,307
1054,0.05863192182410423,18,307
1055,0,0,307
1056,0,0,307
1057,0,0,307
1058,0.02280130293159609,7,307
1059,0.5602605863192183,172,307
1060,0,0,307
1061,0.13029315960912052,40,307
1062,0.003257328990228013,1,307
1063,0,0,307
1064,0,0,307
1065,0.7003257328990228,215,307
1066,0.2964169381107492,91,307
1067,0.3583061889250814,110,307
1068,0.003257328990228013,1,307
1069,0,0,307
1070,0,0,307
1071,0,0,307
