column_name,zero_proportion,zero_count,total_count
TCGA-57-1994-01A-01R-1568-13,0.0836,418,5000
TCGA-59-2348-01A-01R-1569-13,0.1164,582,5000
TCGA-59-2350-01A-01R-1569-13,0.109,545,5000
TCGA-59-2351-01A-01R-1569-13,0.1174,587,5000
TCGA-59-2352-01A-01R-1569-13,0.0998,499,5000
TCGA-59-2354-01A-01R-1569-13,0.0762,381,5000
TCGA-59-2355-01A-01R-1569-13,0.1006,503,5000
TCGA-59-2363-01A-01R-1569-13,0.101,505,5000
TCGA-59-A5PD-01A-11R-A406-31,0.0952,476,5000
TCGA-5X-AA5U-01A-11R-A406-31,0.097,485,5000
TCGA-61-1721-01A-01R-1569-13,0.138,690,5000
TCGA-61-1724-01A-01R-1568-13,0.113,565,5000
TCGA-61-1725-01A-01R-1567-13,0.1272,636,5000
TCGA-61-1728-01A-01R-1568-13,0.0882,441,5000
TCGA-61-1733-01A-01R-1567-13,0.1212,606,5000
TCGA-61-1736-01B-01R-1568-13,0.1034,517,5000
TCGA-61-1737-01A-01R-1567-13,0.1118,559,5000
TCGA-61-1738-01A-01R-1567-13,0.1224,612,5000
TCGA-61-1740-01A-01R-1567-13,0.1038,519,5000
TCGA-61-1741-01A-02R-1567-13,0.0874,437,5000
TCGA-61-1743-01A-01R-1568-13,0.1002,501,5000
TCGA-61-1900-01A-01R-1567-13,0.09,450,5000
TCGA-61-1907-01A-01R-1567-13,0.1352,676,5000
TCGA-61-1910-01A-01R-1567-13,0.1516,758,5000
TCGA-61-1914-01A-01R-1567-13,0.112,560,5000
TCGA-61-1917-01A-01R-1568-13,0.1106,553,5000
TCGA-61-1918-01A-01R-1568-13,0.1126,563,5000
TCGA-61-1919-01A-01R-1568-13,0.1208,604,5000
TCGA-61-1995-01A-01R-1568-13,0.0938,469,5000
TCGA-61-1998-01A-01R-1568-13,0.126,630,5000
TCGA-61-2000-01A-01R-1568-13,0.1238,619,5000
TCGA-61-2002-01A-01R-1568-13,0.1066,533,5000
TCGA-61-2003-01A-01R-1568-13,0.1024,512,5000
TCGA-61-2008-01A-02R-1568-13,0.1148,574,5000
TCGA-61-2008-02A-01R-1568-13,0.1046,523,5000
TCGA-61-2009-01A-01R-1568-13,0.1208,604,5000
TCGA-61-2012-01A-01R-1568-13,0.088,440,5000
TCGA-61-2016-01A-01R-1568-13,0.0852,426,5000
TCGA-61-2088-01A-01R-1568-13,0.1038,519,5000
TCGA-61-2092-01A-01R-1568-13,0.1396,698,5000
TCGA-61-2094-01A-01R-1568-13,0.0982,491,5000
TCGA-61-2095-01A-01R-1568-13,0.072,360,5000
TCGA-61-2097-01A-02R-1568-13,0.1306,653,5000
TCGA-61-2098-01A-01R-1568-13,0.0838,419,5000
TCGA-61-2101-01A-01R-1568-13,0.0956,478,5000
TCGA-61-2102-01A-01R-1568-13,0.1154,577,5000
TCGA-61-2104-01A-01R-1568-13,0.112,560,5000
TCGA-61-2109-01A-01R-1568-13,0.113,565,5000
TCGA-61-2110-01A-01R-1568-13,0.1076,538,5000
TCGA-61-2111-01A-01R-1568-13,0.1182,591,5000
TCGA-61-2113-01A-01R-1568-13,0.0988,494,5000
TCGA-OY-A56P-01A-12R-A406-31,0.096,480,5000
TCGA-OY-A56Q-01A-11R-A406-31,0.1144,572,5000
TCGA-VG-A8LO-01A-11R-A406-31,0.0872,436,5000
TCGA-WR-A838-01A-12R-A406-31,0.0928,464,5000
