gene,log2FC,pval,mean_high,mean_low,padj
DDX60L,0.34896547808827805,0.006811669311600908,8.35765014183707,8.008684663748792,0.025765006494901474
ARHGAP32,0.3489006727984574,0.0006240960582955781,9.823423919175736,9.474523246377279,0.004296909733677068
TIMM50,-0.34869376959742304,0.0007693951357040361,10.287646918398856,10.63634068799628,0.005022036636137936
ZCCHC3,-0.3486052684864518,0.0006449748778883052,9.638491670504557,9.987096938991009,0.00440687855896068
KDM1A,-0.34857195006974884,1.674582756993911e-05,11.048447173569828,11.397019123639577,0.0003029257811065622
ETV2,-0.34849302290198736,0.007583452419789472,4.573194247670335,4.921687270572322,0.0278856818457888
EEF1E1,-0.34838911723353405,0.00015953617235529404,8.484813242715202,8.833202359948736,0.0015357707738575279
AMPD3,0.3480952937847466,0.00033376648405875596,8.053837720265433,7.705742426480686,0.0026670139471296414
GIPC3,0.34807853580976644,0.002274964993656991,5.91903331946722,5.570954783657453,0.01136725449306834
SORBS3,0.3480438283218028,0.0018093392451907606,10.707074534443057,10.359030706121255,0.009601524626694722
KIAA1539,0.34799876349556413,8.534482666354763e-06,8.541987276580361,8.193988513084797,0.00018604965065015851
ARL6IP5,0.34792642762175774,6.198814091398431e-05,11.583161286123877,11.23523485850212,0.0007754155830566223
MGAT5,0.34789240869015803,0.0008643500626555862,8.345605022977365,7.997712614287207,0.005490212226125281
KCNQ3,0.3478686109397602,0.013133726774232449,4.590136488219851,4.242267877280091,0.04200127008109979
LOC121952,0.34777019537062903,0.0002856667899606894,1.094252667004672,0.7464824716340429,0.002375663216696233
ELFN1,0.34749251120348656,0.0037168728331156394,6.125370918587555,5.777878407384068,0.016292383284835586
PDCD2,-0.3474208281148847,1.0504550804049531e-05,9.603474140567053,9.950894968681938,0.00021540324896477365
BMI1,-0.34725472211807507,0.00016896524543767637,10.367000274797498,10.714254996915573,0.0016016478648005175
